247352581469376512,7 20 0 7
234471165073182720,103 106 84 93
211449234715713536,24 44 11 21
188283585990623232,7 20 0 7
286836991797100544,22 32 14 19
205501854191337473,22 40 0 21
147204845483462656,39 72 19 38
298119036456292352,14 40 0 13
178165162996547585,20 33 13 19
240087598201180160,13 29 5 12
211849195102019586,20 55 0 19
227401179154497536,57 69 50 54
202791033585680384,12 23 0 12
168515063882317825,12 27 1 11
301093259067940864,32 101 0 31
252287213646254080,18 54 0 17
212765499279421440,25 65 0 22
223400408750632960,48 114 16 44
263271135662198784,5 22 0 3
208858966392975360,5 15 0 4
174764987686989824,0 19 22 25
165326889383247872,14 39 0 13
239555747925590017,8 25 0 7
219032204771201024,26 30 12 19
283446325062811648,50 127 0 49
215368035467407360,7 42 44 47
149697826253836288,27 42 2 26
217056184463671296,16 29 0 15
183215570760638465,37 53 12 37
168149148594475008,20 56 0 19
144701374360330241,43 71 25 42
227429591441088512,22 54 0 21
213064788165668865,27 82 0 25
208868730904649728,25 40 18 25
151581672758972417,27 46 7 25
152011299407134720,15 35 0 15
293653490952175616,20 47 0 16
257824362126778368,137 202 75 136
296229598788718592,8 21 0 7
293232810465058817,10 31 0 9
280750566097973249,15 35 0 14
144728469379620864,14 31 1 13
189201064711569408,36 108 0 34
302744221293637632,29 77 0 27
216161845306867712,22 71 0 21
210024827921248256,42 63 25 42
284830273479262208,33 61 0 14
211745314594504706,58 104 13 56
268532944287698945,23 40 14 22
283402645589348352,22 65 0 16
245876006437675009,34 101 10 33
239600174178111488,28 58 14 27
179016468485259264,18 46 1 17
287599734489755648,8 19 0 8
236274501988515840,8 11 0 7
259551412990668800,29 83 0 28
254905571017379840,26 85 0 25
170850510742618112,70 117 0 68
278775405501108224,55 130 16 48
277597049317367809,29 88 0 26
249436836206870528,22 71 1 22
217128267545710592,44 76 2 38
169683034617036800,27 48 0 26
285878001911099392,23 64 0 21
155264624063823872,16 25 11 15
305136346203308032,21 52 0 20
216376107220467712,4 39 61 82
300871800198422528,26 73 0 24
238998983354236929,35 79 0 33
185572056627294211,44 122 1 43
145548070103420928,19 39 1 18
172322711727640578,72 133 16 70
172676937230196736,14 26 0 13
176925171737833472,24 43 14 22
182169184065687553,29 87 0 27
304791553321353216,15 51 0 12
228254971932573696,21 63 0 20
189946837392834560,46 113 14 45
152440599247720450,16 30 8 16
249561289502883840,9 25 0 6
282341025341636609,18 56 0 17
223565773363347456,27 90 8 26
272580774979575808,33 125 0 32
187467823088541696,45 133 0 43
223749320489435136,34 75 16 34
292793570434359296,26 74 0 24
